Código,Nome,Un,Chave,EAN,Marca,1Contagem,2Contagem,3Contagem,Avaria,Total,Saldo Estoque,Loja,Almoxarifado
B82,"Zinco Chapa 28 1,00m(3,44kg/m) - Aço Cearense",M,359768,0,Aço Cearense,,,,,0,"33,65",Piaui Const FI02,283397887
B84,"Zinco Chapa 28 60cm(2,1kg/m) - Aço Cearense",M,359774,0,Aço Cearense,,,,,0,"251,37",Piaui Const FI02,283397887
B86,"Zinco Chapa 28 80cm(2,8kg/m) - Aço Cearense",M,359780,0,Aço Cearense,,,,,0,"228,19",Piaui Const FI02,283397887
G8655,Arame Recozido Nº 18 01 Kg - Aço Cearense,KG,122488655,0,Aço Cearense,,,,,0,372,Piaui Const FI02,283397887
Z3137,"Zinco Chapa 28 1,20m(4,13kg/m) - Aço Cearensa",M,31371612,0,Aço Cearense,,,,,0,"97,87",Piaui Const FI02,283397887
I407,Fita Crepe 48x50mm 427- Adere,Un,376494,17896193253817,Adere,,,,,0,#N/A,Piaui Const FI02,283397887
I800,Fita Crepe 24x50mm 427- Adere,Un,255278255,0,Adere,,,,,0,#N/A,Piaui Const FI02,283397887
D6023,Pneu 3.25 8 2L - Ajax,Un,273422266,7898929612625,Ajax,,,,,0,#N/A,Piaui Const FI02,283397887
F2447,Fechadura Inox Premium Externa 2600/71 IP - Aliança,Un,244754668,7891249071967,Aliança,,,,,0,#N/A,Piaui Const FI02,283397887
F2666,Forro Decor 200x08mm Carvalho 06 Metros - Araforros,Un,280594770,7898411533032,Araforros,,,,,0,#N/A,Piaui Const FI02,283397887
G1,Arame Galvanizado 1 24mm N 18 - Arcelormittal,Un,374821,0,ArcelorMittal,,,,,0,141,Piaui Const FI02,283397887
G11,Prego 1.1/2x13 ou 15x18 - Arcelormittal,KG,374848,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
G11+,Prego Promocional - Arcelormittal,KG,260118316,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
G13,Prego 1.1/4x14 ou 14x15 - Arcelormittal,KG,374855,7899192208171,ArcelorMittal,,,,,0,215,Piaui Const FI02,283397887
G14,Prego 2.1/2x10 ou 18x27 - Arcelormittal,KG,374858,0,ArcelorMittal,,,,,0,77,Piaui Const FI02,283397887
G16,Prego 2x12 ou 16x21 - Arcelormittal,KG,374864,7896230501836,ArcelorMittal,,,,,0,147,Piaui Const FI02,283397887
G17,Prego 2x14 ou 14x21 - Arcelormittal,KG,374868,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
G2,Arame Galvanizado 1.65mm Nº 16 - Arcelormittal,KG,374824,0,ArcelorMittal,,,,,0,99,Piaui Const FI02,283397887
G3,Arame Galvanizado 2.10mm Nº 14 - Arcelormittal,KG,374827,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
G33,"Tela Hexagonal Pinteiro 1f 22 1,50m - Arcelormittal",Un,374913,7899192200953,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
G3748,Grampo para Cerca 7/8x12 - Arcelormittal,KG,374844,7899192208072,ArcelorMittal,,,,,0,12,Piaui Const FI02,283397887
G8,Arame Recozido Nº 18 01 Kg - Arcelormittal,KG,374839,0,ArcelorMittal,,,,,0,334,Piaui Const FI02,283397887
P1010,Prego 2.3/4x10 ou 18x30 - Arcelormittal,KG,261395115,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
P6664,Prego 2x11 ou 17x21 - Arcelormittal,KG,244546664,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
T2524,"Tela Hexanet Galinheiro 2x22 1,50m 50M - Arcelormittal",Un,252423047,0,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
T4426,"Tela Hexanet Pinteiro 1x22 1,00m 50M - Arcelormittal",Un,264439378,7899192200960,ArcelorMittal,,,,,0,#N/A,Piaui Const FI02,283397887
C2585,Caixa para Massa 60X37X14cm CXM - Astra,Un,255476002,7891222125861,Astra,,,,,0,0,Piaui Const FI02,283397887
F1406,Balde Plástico Super 12l BC1*PR1 - Astra,Un,372079,7891222002698,Astra,,,,,0,8,Piaui Const FI02,283397887
F1421,Distanciador Circular 25mm - Astra,Un,372122,7891222198421,Astra,,,,,0,1745,Piaui Const FI02,283397887
F1422,Distanciador Circular 30mm Ref DC/30 - Astra,Un,372125,7891222198438,Astra,,,,,0,1586,Piaui Const FI02,283397887
F1423,Distanciador Circular 40mm - Astra,Un,372128,7891222198445,Astra,,,,,0,307,Piaui Const FI02,283397887
F1425,Distanciador Torre 6x20mm - Astra,Un,372134,7891222200810,Astra,,,,,0,888,Piaui Const FI02,283397887
F888,"Mangueira Cristal 5/16x1,5mm Para Nivel M516/151*CRIST - Astra",M,370527,7891222009437,Astra,,,,,0,#N/A,Piaui Const FI02,283397887
S2481,Sifao Sanfonado Universal Copo SSUC2 Cromado - AStra,Un,248053558,7891222157800,Astra,,,,,0,23,Piaui Const FI02,283397887
S3705,Sifão Sanfonado Universal Cromado SSUM2- Astra,Un,370599,7891222152386,Astra,,,,,0,33,Piaui Const FI02,283397887
E6262,Esmerilhadeira Ang 4 1/2 220v G720-B2 - Black & Decker,Un,282268974,28877362779,Black & Decker,,,,,0,#N/A,Piaui Const FI02,283397887
F8985,Furadeira de Impacto 3/8 220V HD400K50-B2 - Black & Decker,Un,282269017,885911366168,Black & Decker,,,,,0,#N/A,Piaui Const FI02,283397887
A4376,Adesivo Veda Calha Aluminio 280gr - Brascola,Un,245674376,0,Brascola,,,,,0,#N/A,Piaui Const FI02,283397887
B1881,Botina Elástico N°46 - Cartom,Par,283108313,7898934892142,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2415,Botina Amarrar Nobuck Verde Oliva 40 S/B BI - Cartom,Un,274069270,7898611990161,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2416,Botina Amarrar Nobuck Verde Oliva 42 S/B BI - Cartom,Un,274069276,7898611990185,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2453,Botina Elástico N°40 Com Bico Composite Eletricista TP085C - Cartom,Un,252074943,7898611992424,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2454,Botina Elástico N°39 Com Bico Composite Eletricista TP085C - Cartom,Un,252074936,7898611992417,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2455,Botina Elástico N°41 Com Bico Composite Eletricista TP085C - Cartom,Un,252157855,7898611992431,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2457,Botina Elástico N°42 Com Bico Composite Eletricista TP085C - Cartom,Un,252157858,7898611992448,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2458,Botina Elástico N°43 Com Bico Composite Eletricista TP085C - Cartom,Un,252157861,7898611992455,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2459,Botina Elástico N°44 Com Bico Composite Eletricista TP085C - Cartom,Un,252157864,7898611992462,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2460,Botina Amarrar 3G Nobuck Cafe 39 S/B TP092 - Cartom,Un,252157867,7898611990673,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2461,Botina Amarrar 3G Nobuck Cafe 40 S/B TP092 - Cartom,Un,252157870,7898611990680,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2462,Botina Amarrar 3G Nobuck Cafe 41 S/B TP092 - Cartom,Un,252157873,7898611990697,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2463,Botina Amarrar 3G Nobuck Cafe 42 S/B TP092 - Cartom,Un,252157876,7898611990703,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2464,Botina Amarrar 3G Nobuck Cafe 43 S/B TP092 - Cartom,Un,252157879,7898611990710,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2465,Botina Amarrar 3G Nobuck Cafe 44 S/B TP092 - Cartom,Par,252157882,7898611990727,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2468,Botina Amarrar 3G Nobuck Preto 40 S/B TP092 - Cartom,Par,252157888,7898934892647,Cartom,,,,,0,0,Piaui Const FI02,283397887
B2469,Botina Amarrar 3G Nobuck Preto 41 S/B TP092 - Cartom,Par,252157891,7898934892654,Cartom,,,,,0,1,Piaui Const FI02,283397887
B2470,Botina Amarrar 3G Nobuck Preto 42 S/B TP092 - Cartom,Par,252157894,7898934892661,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2472,Botina Amarrar 3G Nobuck Preto 44 S/B TP092 - Cartom,Par,252157900,7898934892685,Cartom,,,,,0,#N/A,Piaui Const FI02,283397887
B2473,Botina Amarrar Nobuck Cafe 39 S/B TP200C - Cartom,Par,252157903,7898611992530,Cartom,,,,,0,0,Piaui Const FI02,283397887
B2480,Botina Amarrar Nobuck Cafe 40 S/B TP200C - Cartom,Par,252157906,7898611992547,Cartom,,,,,0,1,Piaui Const FI02,283397887
